2024/01/28 12:00:00, 8.30, 49.30
2024/01/28 12:30:00, 8.94, 48.50
2024/01/28 13:00:00, 8.14, 47.66
2024/01/28 13:30:00, 8.00, 47.57
2024/01/28 14:00:00, 8.20, 46.58
2024/01/28 14:30:00, 7.66, 45.61
2024/01/28 15:00:00, 6.85, 45.08
2024/01/28 15:30:00, 6.34, 44.61
2024/01/28 16:00:00, 5.79, 44.80
2024/01/28 16:30:00, 6.38, 44.23
2024/01/28 17:00:00, 6.29, 45.11
2024/01/28 17:30:00, 6.90, 45.90
2024/01/28 18:00:00, 6.74, 45.73
2024/01/28 18:30:00, 7.70, 46.58
2024/01/28 19:00:00, 7.76, 47.46
2024/01/28 19:30:00, 7.12, 46.82
2024/01/28 20:00:00, 8.00, 47.02
2024/01/28 20:30:00, 8.85, 46.45
2024/01/28 21:00:00, 7.96, 45.75
2024/01/28 21:30:00, 7.83, 45.47
2024/01/28 22:00:00, 7.27, 45.87
2024/01/28 22:30:00, 7.42, 45.23
2024/01/28 23:00:00, 6.46, 45.00
2024/01/28 23:30:00, 7.44, 45.80
2024/01/29 00:00:00, 7.57, 45.72
2024/01/29 00:30:00, 8.52, 46.51
2024/01/29 01:00:00, 7.95, 46.97
2024/01/29 01:30:00, 7.52, 46.48
2024/01/29 02:00:00, 7.50, 47.30
2024/01/29 02:30:00, 6.72, 46.97
2024/01/29 03:00:00, 6.91, 46.84
2024/01/29 03:30:00, 7.12, 46.65
2024/01/29 04:00:00, 6.89, 47.37
2024/01/29 04:30:00, 7.18, 48.17
2024/01/29 05:00:00, 7.50, 49.05
2024/01/29 05:30:00, 6.67, 48.41
2024/01/29 06:00:00, 5.85, 47.60
2024/01/29 06:30:00, 6.37, 46.79
2024/01/29 07:00:00, 6.94, 46.42
2024/01/29 07:30:00, 6.71, 46.00
2024/01/29 08:00:00, 6.98, 46.69
2024/01/29 08:30:00, 7.42, 46.16
2024/01/29 09:00:00, 6.58, 46.95
2024/01/29 09:30:00, 5.63, 47.69
2024/01/29 10:00:00, 5.73, 48.56
2024/01/29 10:30:00, 5.60, 49.00
2024/01/29 11:00:00, 4.95, 48.91
2024/01/29 11:30:00, 5.29, 48.61
2024/01/29 12:00:00, 4.89, 48.81
2024/01/29 12:30:00, 5.38, 49.51
